pair_id,example_id,text,is_ai,notes,source_id,source_url,source_title,source_author,license,generation_model,parent_example_id
docs-kubernetes-objects-release-1.22-003,docs-kubernetes-objects-release-1.22-003-human,"To work with Kubernetes objects--whether to create, modify, or delete them--you'll need to use the Kubernetes API. When you use the kubectl command-line interface, for example, the CLI makes the necessary Kubernetes API calls for you. You can also use the Kubernetes API directly in your own programs using one of the Client Libraries.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,kubernetes-objects,https://github.com/kubernetes/website/blob/release-1.22/content/en/docs/concepts/overview/working-with-objects/kubernetes-objects.md,Kubernetes Objects,Kubernetes documentation contributors,Creative Commons Attribution 4.0,,
docs-kubernetes-objects-release-1.22-003,docs-kubernetes-objects-release-1.22-003-ai,"Creating, updating, or deleting Kubernetes objects requires interaction with the Kubernetes API. For example, when you run commands through the kubectl command-line interface, kubectl issues the required API requests on your behalf. Your own applications can also communicate with the Kubernetes API directly by using one of the available Client Libraries.",True,Model-generated semantic rewrite of the paired licensed passage.,kubernetes-objects,https://github.com/kubernetes/website/blob/release-1.22/content/en/docs/concepts/overview/working-with-objects/kubernetes-objects.md,Kubernetes Objects,Kubernetes documentation contributors,Creative Commons Attribution 4.0,openai/gpt-5.6-sol,docs-kubernetes-objects-release-1.22-003-human
docs-python-tutorial-v3.10.0-005,docs-python-tutorial-v3.10.0-005-human,This variable should be treated as read-only by the user. Don't explicitly assign a value to it --- you would create an independent local variable with the same name masking the built-in variable with its magic behavior.,False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,python-tutorial,https://github.com/python/cpython/blob/v3.10.0/Doc/tutorial/introduction.rst,The Python Tutorial - An Informal Introduction,Python documentation contributors,Python Software Foundation License Version 2,,
docs-python-tutorial-v3.10.0-005,docs-python-tutorial-v3.10.0-005-ai,"Users should treat this variable as read-only; pray, do not assign it a value directly. Doing so creates a separate local variable of the same name, thereby concealing the built-in variable and forfeiting its special, magical behavior.",True,Model-generated semantic rewrite of the paired licensed passage.,python-tutorial,https://github.com/python/cpython/blob/v3.10.0/Doc/tutorial/introduction.rst,The Python Tutorial - An Informal Introduction,Python documentation contributors,Python Software Foundation License Version 2,openai/gpt-5.6-sol,docs-python-tutorial-v3.10.0-005-human
docs-pytorch-readme-v1.10.0-011,docs-pytorch-readme-v1.10.0-011-human,"With PyTorch, we use a technique called reverse-mode auto-differentiation, which allows you to change the way your network behaves arbitrarily with zero lag or overhead. Our inspiration comes from several research papers on this topic, as well as current and past work such as torch-autograd, autograd, Chainer, etc.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,pytorch-readme,https://github.com/pytorch/pytorch/blob/v1.10.0/README.md,PyTorch README,PyTorch contributors,BSD 3-Clause,,
docs-pytorch-readme-v1.10.0-011,docs-pytorch-readme-v1.10.0-011-ai,"In PyTorch, we rely on reverse-mode automatic differentiation, so you can alter a network’s behavior however you like without added lag or overhead. The approach draws inspiration from several research papers and from both earlier and ongoing projects, including torch-autograd, autograd, and Chainer.",True,Model-generated semantic rewrite of the paired licensed passage.,pytorch-readme,https://github.com/pytorch/pytorch/blob/v1.10.0/README.md,PyTorch README,PyTorch contributors,BSD 3-Clause,openai/gpt-5.6-sol,docs-pytorch-readme-v1.10.0-011-human
docs-spark-sql-v3.2.0-010,docs-spark-sql-v3.2.0-010-human,"When a dictionary of kwargs cannot be defined ahead of time (for example, the structure of records is encoded in a string, or a text dataset will be parsed and fields will be projected differently for different users), a DataFrame can be created programmatically with three steps.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,spark-sql,https://github.com/apache/spark/blob/v3.2.0/docs/sql-getting-started.md,Getting Started with Spark SQL,Apache Spark documentation contributors,Apache License 2.0,,
docs-spark-sql-v3.2.0-010,docs-spark-sql-v3.2.0-010-ai,"When a kwargs dictionary cannot be specified beforehand—for instance, because a string encodes the record layout, or because users will parse the same text dataset and project different fields—a DataFrame may nevertheless be constructed programmatically in three orderly steps, as follows.",True,Model-generated semantic rewrite of the paired licensed passage.,spark-sql,https://github.com/apache/spark/blob/v3.2.0/docs/sql-getting-started.md,Getting Started with Spark SQL,Apache Spark documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-spark-sql-v3.2.0-010-human
docs-airflow-dags-2.2.0-009,docs-airflow-dags-2.2.0-009-human,"It defines four Tasks - A, B, C, and D - and dictates the order in which they have to run, and which tasks depend on what others. It will also say how often to run the DAG - maybe ""every 5 minutes starting tomorrow"", or ""every day since January 1st, 2020"".",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,,
docs-airflow-dags-2.2.0-009,docs-airflow-dags-2.2.0-009-ai,"It lays out four tasks—A, B, C, and D—specifying both their proper sequence and the dependencies among them. Moreover, it declares how often the DAG shall run: perhaps every five minutes beginning tomorrow, or once each day dating back to January 1, 2020.",True,Model-generated semantic rewrite of the paired licensed passage.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-airflow-dags-2.2.0-009-human
docs-airflow-dags-2.2.0-010,docs-airflow-dags-2.2.0-010-human,"Those DAG Runs will all have been started on the same actual day, but each DAG run will have one data interval covering a single day in that 3 month period, and that data interval is all the tasks, operators and sensors inside the DAG look at when they run.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,,
docs-airflow-dags-2.2.0-010,docs-airflow-dags-2.2.0-010-ai,"Although those DAG Runs will all have begun on the selfsame calendar day, each run is assigned a distinct, one-day data interval within that three-month span. In turn, this interval—not the actual launch date—is what every task, operator, and sensor in the DAG consults and acts upon while running.",True,Model-generated semantic rewrite of the paired licensed passage.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-airflow-dags-2.2.0-010-human
docs-airflow-dags-2.2.0-013,docs-airflow-dags-2.2.0-013-human,"A Task/Operator does not usually live alone; it has dependencies on other tasks (those upstream of it), and other tasks depend on it (those downstream of it). Declaring these dependencies between tasks is what makes up the DAG structure (the edges of the directed acyclic graph).",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,,
docs-airflow-dags-2.2.0-013,docs-airflow-dags-2.2.0-013-ai,"A Task/Operator seldom stands alone; it depends upon other tasks upstream, while tasks downstream in turn rely upon it. Declaring these relationships establishes the DAG’s structure—namely, the edges of the directed acyclic graph—and thereby sets forth the ordered web of dependencies.",True,Model-generated semantic rewrite of the paired licensed passage.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-airflow-dags-2.2.0-013-human
docs-airflow-dags-2.2.0-015,docs-airflow-dags-2.2.0-015-human,"join is downstream of follow_branch_a and branch_false. The join task will show up as skipped because its trigger_rule is set to all_success by default, and the skip caused by the branching operation cascades down to skip a task marked as all_success.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,,
docs-airflow-dags-2.2.0-015,docs-airflow-dags-2.2.0-015-ai,"The join lies downstream of follow_branch_a and branch_false. By default, its trigger_rule is all_success; consequently, the join appears skipped, since the branching operation’s skip cascades onward and, as is customary, skips any downstream task marked all_success.",True,Model-generated semantic rewrite of the paired licensed passage.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-airflow-dags-2.2.0-015-human
docs-airflow-dags-2.2.0-016,docs-airflow-dags-2.2.0-016-human,"The DAG itself doesn't care about what is happening inside the tasks; it is merely concerned with how to execute them - the order to run them in, how many times to retry them, if they have timeouts, and so on.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,,
docs-airflow-dags-2.2.0-016,docs-airflow-dags-2.2.0-016-ai,"A DAG remains indifferent to the work performed within each task; its concern is merely orchestration: in what order tasks shall run, how often failed ones ought to be retried, whether time limits apply, and sundry other rules governing their execution.",True,Model-generated semantic rewrite of the paired licensed passage.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-airflow-dags-2.2.0-016-human
docs-airflow-dags-2.2.0-017,docs-airflow-dags-2.2.0-017-human,"This special Operator skips all tasks downstream of itself if you are not on the ""latest"" DAG run (if the wall-clock time right now is between its execution_time and the next scheduled execution_time, and it was not an externally-triggered run).",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,,
docs-airflow-dags-2.2.0-017,docs-airflow-dags-2.2.0-017-ai,"This peculiar Operator bypasses every downstream task unless it belongs to the “latest” DAG run; that is, wall-clock time must fall between its execution_time and the next scheduled execution_time, and the run must not have been triggered externally.",True,Model-generated semantic rewrite of the paired licensed passage.,airflow-dags,https://github.com/apache/airflow/blob/2.2.0/docs/apache-airflow/concepts/dags.rst,DAGs,Apache Airflow documentation contributors,Apache License 2.0,openai/gpt-5.6-sol,docs-airflow-dags-2.2.0-017-human
docs-django-queries-4.0-006,docs-django-queries-4.0-006-human,"Whichever of the values is stored, when retrieved from the database, the Python representation of the JSON scalar null is the same as SQL NULL, i.e. None. Therefore, it can be hard to distinguish between them.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,django-queries,https://github.com/django/django/blob/4.0/docs/topics/db/queries.txt,Making queries,Django documentation contributors,BSD 3-Clause,,
docs-django-queries-4.0-006,docs-django-queries-4.0-006-ai,"Regardless of which value was stored, retrieving it from the database yields the same Python representation for JSON’s scalar null and SQL NULL—namely, None. Thus, though the underlying values differ, telling one from the other may prove troublesome.",True,Model-generated semantic rewrite of the paired licensed passage.,django-queries,https://github.com/django/django/blob/4.0/docs/topics/db/queries.txt,Making queries,Django documentation contributors,BSD 3-Clause,openai/gpt-5.6-sol,docs-django-queries-4.0-006-human
docs-django-queries-4.0-020,docs-django-queries-4.0-020-human,"If the clear() method is available, any pre-existing objects will be removed from the entry_set before all objects in the iterable (in this case, a list) are added to the set. If the clear() method is not available, all objects in the iterable will be added without removing any existing elements.",False,Human-authored technical documentation frozen at a pre-2022 open-source release tag; markup normalized to prose.,django-queries,https://github.com/django/django/blob/4.0/docs/topics/db/queries.txt,Making queries,Django documentation contributors,BSD 3-Clause,,
docs-django-queries-4.0-020,docs-django-queries-4.0-020-ai,"When clear() is available, the entry_set is first purged of every object already therein; afterward, each object from the iterable—here, a list—is inserted into the set. If clear() is unavailable, by contrast, the iterable’s objects are simply added, while all pre-existing elements remain undisturbed.",True,Model-generated semantic rewrite of the paired licensed passage.,django-queries,https://github.com/django/django/blob/4.0/docs/topics/db/queries.txt,Making queries,Django documentation contributors,BSD 3-Clause,openai/gpt-5.6-sol,docs-django-queries-4.0-020-human
